nVox0 L0 nbSpheres nbThreads timeMerope timeTMFFT 
32 20 1 4 0.0012691020965576172 0
32 40 15 4 0.0019383430480957031 0
32 80 121 4 0.006418704986572266 0
32 160 977 4 0.03342771530151367 0
32 320 7822 4 0.23070359230041504 0
32 640 62581 4 1.2910871505737305 0
64 20 1 4 0.0022552013397216797 0
64 40 15 4 0.004766702651977539 0
64 80 121 4 0.009604215621948242 0
64 160 977 4 0.03746390342712402 0
64 320 7822 4 0.19832468032836914 0
64 640 62581 4 1.3266994953155518 0
128 20 1 4 0.014786005020141602 0
128 40 15 4 0.024420499801635742 0
128 80 121 4 0.04227280616760254 0
128 160 977 4 0.09131622314453125 0
128 320 7822 4 0.3055269718170166 0
128 640 62581 4 1.5924324989318848 0
256 20 1 4 0.331218957901001 0
256 40 15 4 0.3709752559661865 0
256 80 121 4 0.4402155876159668 0
256 160 977 4 0.5993137359619141 0
256 320 7822 4 1.0306751728057861 0
256 640 62581 4 2.813323736190796 0
512 20 1 4 2.614204168319702 0
512 40 15 4 2.8199150562286377 0
512 80 121 4 3.0867714881896973 0
512 160 977 4 3.644134998321533 0
512 320 7822 4 4.97591233253479 0
512 640 62581 4 8.51366901397705 0
