nVox0 L0 nbSpheres nbThreads timeMerope timeTMFFT 
32 20 1 4 0.0014591217041015625 0.07261204719543457
32 40 15 4 0.0034542083740234375 0.0044345855712890625
32 80 121 4 0.008254051208496094 0.03290915489196777
32 160 977 4 0.038755178451538086 0.29040002822875977
32 320 7822 4 0.2700066566467285 2.3731682300567627
32 640 62581 4 2.165700674057007 18.940633535385132
64 20 1 4 0.005224704742431641 0.03630948066711426
64 40 15 4 0.010582208633422852 0.0343475341796875
64 80 121 4 0.019181251525878906 0.25461316108703613
64 160 977 4 0.05912613868713379 2.28249454498291
64 320 7822 4 0.3109259605407715 18.856088876724243
64 640 62581 4 2.258159637451172 150.7024962902069
128 20 1 4 0.03345513343811035 0.28069591522216797
128 40 15 4 0.051189422607421875 0.2683746814727783
128 80 121 4 0.07535839080810547 1.994549036026001
128 160 977 4 0.14873456954956055 18.096465587615967
128 320 7822 4 0.479320764541626 150.5722668170929
128 640 62581 4 2.5708365440368652 1207.8704628944397
256 20 1 4 0.2542707920074463 2.1710119247436523
256 40 15 4 0.3215928077697754 2.123433828353882
256 80 121 4 0.4070088863372803 15.804314136505127
256 160 977 4 0.6157381534576416 144.14260125160217
256 320 7822 4 1.2203052043914795 1206.9332165718079
